plot,espnurse,target,N_sob,sob,NHP,HP,NFP,FP,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
76,imburana,cating,82,75,29,18,3,5,29,18,3,5,30,14,2,5,30,16,2,5,29,18,0,5,29,17,1,4,29,17,0,4,30,18,0,2,35,17,0,0,30,15,0,0
76,imburana,aroeira,82,25,40,38,11,8,40,38,12,7,40,37,11,7,39,35,5,4,42,35,1,3,-1,35,-1,3,-1,36,-1,3,-1,35,-1,2,-1,37,-1,0,-1,34,-1,0
159,imburana,angico,82,82,35,35,14,6,35,35,13,7,34,35,11,6,35,36,10,3,36,36,12,2,36,36,2,0,37,35,2,0,35,36,1,0,35,36,0,0,-1,36,-1,0
159,imburana,cating,33,82,24,30,3,5,24,30,3,5,21,28,3,6,22,30,3,3,23,30,3,3,23,29,3,0,32,30,1,0,23,30,1,0,-1,30,-1,0,-1,30,-1,0
159,imburana,aroeira,75,82,32,38,10,9,32,38,9,8,29,32,9,7,29,34,9,9,31,35.5,3,4,31,35,1,0,24,35,2,0,30,35,0,0,32,33,0,0,31,34,0,0
34,ipe,angico,60,82,21,28,10,14,21,28,10,12,19,27,9,9,16,24,6,5,17,28,6,2,17,27,2,1,17,26,4,0,12,27,0,0,10,26,0,0,12,26,0,0
34,ipe,cating,82,82,43,63,7,4,43,63,5,4,40,56,6,6,43,59,3,6,41,62,3,6,44,62,2,0,43,60,2,0,42,61,1,0,42,62,0,0,41,61,0,0
34,ipe,aroeira,82,82,36,40,12,9,36,40,10,10,35,38,10,10,32,38,9,9,30,38,4,4,31,38,5,1,30,38,4,1,31,38,2,0,32,38,0,0,31,39,0,0
112,ipe,angico,82,82,29,32,6,5,29,32,6,4,29,32,3,4,27,30,2,5,27,32,1,3,29,32,1,3,28,-1,1,-1,27,-1,0,-1,28,-1,0,-1,-1,-1,-1,-1
112,ipe,cating,82,82,29,19,4,2,29,19,4,2,28,18,4,2,28,17,0,2,28,19,0,0,28,19,0,0,27,18,0,0,27,18,0,0,27,18,0,0,-1,18,-1,0
112,ipe,aroeira,75,39,32,30,9,8,32,30,9,7,32,32,7,6,33,33,5,5,35,31,1,1,34,33,2,0,32,32,1,0,29,18,0,0,34,32,0,0,34,32,0,0
55,ipe,angico,75,82,32,30,12,6,32,30,11,6,30,32,9,6,30,30,3,6,32,-1,2,-1,29,-1,1,-1,30,-1,1,-1,32,-1,0,-1,30,-1,0,-1,32,-1,0,-1
55,ipe,cating,82,82,20,33,3,3,20,33,3,3,21,21,2,2,20,31,1,0,21,34,1,0,20,34,1,0,20,33,0,0,21,33,0,0,21,34.5,0,0,21,34,0,0
55,ipe,aroeira,82,25,27,42,14,10,27,42,8,10,29,40,8,10,27,42,3,0,27,45,1,0,28,43,0,0,15,43,0,0,29,45,0,0,27,44,0,0,26,43,0,0
132,ipe,angico,82,82,26,26,5,6,26,26,6,5,25,26,6,5,24,26,5,4,25,27,4,4,25,28,1,0,26,-1,1,-1,25,-1,1,-1,24,-1,0,-1,20,-1,0,-1
132,ipe,cating,82,82,15,25,2,2,15,25,2,2,23,14,2,1,22,14,2,2,27,15,2,2,25,15,0,0,22,14,0,0,22,15,0,0,23,15,0,0,22,15,0,0
132,ipe,aroeira,82,39,30,40,8,12,30,40,13,9,29,40,8,10,39,30,11,8,39,29,7,2,39,31,2,0,39,30,1,0,40,31,2,0,40,31,0,0,29,30,0,0
118,ipe,angico,82,82,50,57,7,4,50,57,6,2,50,56,5,2,50,54,5,2,52,57,5,2,51,56,0,1,52,56,0,0,53,56,1,0,52,56,0,0,43,56,8,8
118,ipe,cating,82,82,20,20,2,3,20,20,2,3,19,21,2,3,21,20,2,3,22,22,2,3,21,19,2,3,20,21,2,2,22,21,0,1,21,21,2,0,22,22,2,0
118,ipe,aroeira,82,82,41,40,12,11,41,40,12,11,36,40,11,10,34,37,10,9,36,45,3,4,38,38,1,3,38,40,1,3,37,39,1,2,39,41,0,1,36,40,0,0
130,juca,angico,82,82,30,45,6,10,30,45,7,8,31,50,4,7,32,50,4,7,21,31,5,6,32,50,4,0,34,50,2,0,31,50,0,0,33,-1,0,-1,33,-1,0,-1
130,juca,cating,82,82,20,36,1,4,20,36,1,4,19,36,1,4,19,33,1,4,36,25,4,1,19.5,32,1,1,19,33,1,1,20,35,0,0,20,31,0,0,20,33,0,0
130,juca,aroeira,82,60,28,40,8,7,28,40,10,7,27,39,10,6,27,37,8,6,33,43,5,8,28,38,0,3,28,37,0,3,28,38,0,2,28,39,0,1,28,39,0,0
136,juca,angico,82,82,29,32,10,9,29,32,7,6,21,31,7,7,20,30,6,6,21,31,5,6,26,34,1,0,28,32,0,0,27,-1,0,-1,26,-1,0,-1,26,-1,0,-1
136,juca,cating,82,82,37,26,6,3,37,26,6,3,38,24,6,3,37,24,6,1,36,25,4,1,24,20,4,0,38,25,4,1,39,25,1,1,34,25,0,1,34,24,0,0
136,juca,aroeira,82,46,36,42,10,12,36,42,11,12,33,41,11,11,34,41,11,11,33,43,5,8,36,31,4,0,34,41,1,2,36,43,1,2,35,44,0,2,35,40,0,1
139,juca,angico,82,82,31,32,20,6,31,32,16,5,30,32,4,8,30,32,12,4,30,33,11,3,31,34,5,0,30,34,4,0,31,33,4,0,31,33,4,0,28,33,0,0
139,juca,cating,82,82,25,23,5,3,25,23,5,2,25,21,5,2,25,20,4,2,24,22,4,1,24,20,3,0,24,20,2,0,25,21,3,0,21,21,3,0,23,20,0,0
139,juca,aroeira,82,82,38,34,8,11,38,34,7,10,34,29,3,10,33,30,2,9,34,31,3,9,36,31,3,0,35,29,3,0,35,31,1,0,35,31,2,8,33,31,0,3
145,juca,angico,82,82,20,30,10,10,30,29,4,7,30,32,4,8,30,30,6,7,30,30,5,2,31,32,4,0,31,-1,6,-1,33,-1,7,-1,34,-1,8,-1,33,-1,0,-1
145,juca,cating,82,82,28,40,5,3,22,28,2,12,22,27,2,12,22,24,2,12,23,27,2,10,28,26,0,5,24,26,0,4,23,27,0,0,22,27,0,0,21,27,0,0
145,juca,aroeira,82,39,40,26,40,14,43,33,7,11,41,32,7,11,45,32,7,9,43,36,2,8,33,36,0,0,43,35,0,0,42,35,0,0,43,36,0,0,42,33,0,0
148,juca,angico,82,82,30,29,4,11,20,30,10,10,29,36,10,9,24,35,7,7,24,35,3,7,30,34,3,5,25,36,0,7,24,36,0,7,25,37,0,7,21,33,0,0
148,juca,cating,82,82,22,28,2,10,28,40,5,2,30,36,5,2,27,37,5,2,20,26,7,1,28,39,4,2,27,37,4,2,28,37,0,2,28,38,0,0,28,37,0,0
148,juca,aroeira,82,82,43,33,7,11,40,26,10,14,35,26,10,7,33,27,9,3,34,25,0,4,33,28,6,4,33,28,0,3,33,27,0,5,33,28,0,3,33,28,0,0
46,jubranca,angico,82,82,44,45,6,16,44,45,5,14,43,49,4,10,42,44,4,4,43,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
